"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.732307226E0,-4.562554061E-1,-1.335877180E0,-3.540602684E0,3.811640618E0
4.748743231E0,-6.430786848E-1,-1.106725931E0,-3.989270210E0,4.189590588E0
4.765177771E0,-6.202147007E-1,-9.807851315E-1,-3.826005459E0,3.998114996E0
4.781612505E0,-3.989116848E-1,-9.217202663E-1,-2.886819839E0,3.056538494E0
4.798045844E0,-3.543240726E-1,-7.739298344E-1,-1.908953667E0,2.090123690E0
4.814480099E0,-5.169695020E-1,-6.460802555E-1,-1.278278351E0,1.522718853E0
4.830911202E0,-6.479381919E-1,-5.894994736E-1,-9.114341736E-1,1.264138356E0
4.847348488E0,-6.597423553E-1,-5.458157063E-1,-7.483949661E-1,1.137220201E0
4.863782154E0,-5.223122239E-1,-4.868893623E-1,-3.340892792E-1,7.883444405E-1
4.880216521E0,-4.412809312E-1,-1.097371578E-1,8.430862427E-2,4.624705917E-1
4.896650899E0,-5.415970087E-1,4.666452408E-1,2.666578293E-1,7.630147433E-1
4.913084911E0,-7.048655748E-1,1.112749100E0,4.680871964E-1,1.397909747E0
4.929518362E0,-8.322396874E-1,1.618677378E0,9.176168442E-1,2.038322846E0
4.945950084E0,-6.727184653E-1,1.556274176E0,1.797930717E0,2.471253590E0
4.962390108E0,-3.849164546E-1,1.028599501E0,2.980785370E0,3.176674209E0
4.978820192E0,-4.010565281E-1,7.013666630E-1,3.519507408E0,3.611051638E0
4.995255871E0,-4.624306858E-1,8.729379177E-1,3.218655586E0,3.366839249E0
5.011687594E0,-4.461195767E-1,1.468267441E0,2.725249290E0,3.127589431E0
5.028114240E0,-9.951767325E-2,1.886535883E0,2.999449730E0,3.544801840E0
5.044557427E0,5.974784493E-1,1.579468250E0,4.067101479E0,4.403750094E0
5.060979669E0,9.321823120E-1,6.185402870E-1,5.071798325E0,5.193716800E0
5.077424462E0,1.281461835E0,-8.488609791E-1,5.257077217E0,5.477186345E0
5.093860152E0,1.563999653E0,-2.272158861E0,4.368295670E0,5.166314727E0
5.110293543E0,1.839793444E0,-3.205094337E0,2.652823448E0,4.549169361E0
5.126727554E0,1.949960232E0,-3.310127497E0,7.556095123E-1,3.915384360E0
5.143161902E0,2.141917467E0,-2.711070538E0,-6.114597321E-1,3.508788523E0
5.159596126E0,2.182697535E0,-1.626809835E0,-1.140964031E0,2.951690649E0
5.176029486E0,1.865846038E0,-6.909947395E-1,-1.379049778E0,2.420874523E0
5.192463650E0,1.395227671E0,-1.399261951E-1,-1.548522472E0,2.089057548E0
5.208894915E0,9.062427878E-1,-1.942007542E-1,-1.837955952E0,2.058414925E0
5.225331977E0,5.055466890E-1,-6.559045315E-1,-2.249306202E0,2.396907716E0
5.241766569E0,2.590942085E-1,-1.165787697E0,-2.553879738E0,2.819307092E0
5.258199817E0,1.363705099E-1,-1.568490744E0,-2.863578320E0,3.267849587E0
5.340351422E0,3.443885446E-1,-6.446979046E-1,-2.509524345E0,2.613800164E0
5.356782732E0,2.970661521E-1,-3.663461208E-1,-2.107090473E0,2.159233207E0
5.373232515E0,2.320831865E-1,-2.474851608E-1,-1.472750187E0,1.511325452E0
